model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG159.mixedField,6.06755,3.36673,0.0322036,0.0475847,0.102516,0.0379007,1,0,0,3.28587,0.000894781,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG160.mixedField,5.96337,3.39605,0.0348522,0.0508775,0.109124,0.0384799,1,0,0,3.15486,0.000748311,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG161.mixedField,5.85089,3.22375,0.0331751,0.0492669,0.106339,0.0394811,1,0,0,3.18246,0.000890775,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG162.mixedField,5.92407,3.26242,0.0337276,0.050373,0.108961,0.0399131,1,0,0,3.12577,0.000849197,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG163.mixedField,5.89974,3.26026,0.032571,0.0481501,0.103752,0.0386894,1,0,0,3.2432,0.000911528,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG164.mixedField,5.93526,3.34599,0.0346132,0.0508816,0.10941,0.039016,1,0,0,3.14182,0.000775658,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG165.mixedField,5.89636,3.35815,0.0355743,0.0520007,0.111586,0.0391266,1,0,0,3.10297,0.000727975,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG166.mixedField,5.87674,3.26711,0.0344739,0.0511815,0.11046,0.0399416,1,0,0,3.09593,0.00080871,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG167.mixedField,6.00234,3.38905,0.033427,0.0488727,0.104882,0.0378568,1,0,0,3.24608,0.000818814,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG168.mixedField,6.06043,3.44075,0.0358245,0.0528121,0.113679,0.0393197,1,0,0,3.06251,0.000692937,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG169.mixedField,5.83706,3.32858,0.0342099,0.0495342,0.105933,0.0380345,1,0,0,3.23067,0.000796747,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG170.mixedField,6.04244,3.3367,0.0325026,0.0482772,0.10421,0.0385178,1,0,0,3.24308,0.000889402,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG171.mixedField,5.9669,3.41247,0.0351739,0.0512382,0.109813,0.0384393,1,0,0,3.14394,0.000728937,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG172.mixedField,5.83783,3.27017,0.0323646,0.0471208,0.100969,0.0376617,1,0,0,3.33086,0.000916332,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG173.mixedField,5.8108,3.42873,0.0365415,0.0518618,0.110147,0.037576,1,0,0,3.16851,0.000663011,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG174.mixedField,5.91995,3.46541,0.0345661,0.0491141,0.104351,0.0364925,1,0,0,3.30276,0.000734529,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG175.mixedField,6.07969,3.39021,0.0331654,0.0490753,0.105783,0.0383827,1,0,0,3.21355,0.000834271,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG176.mixedField,6.25847,3.48037,0.0334657,0.0499433,0.108,0.0386389,1,0,0,3.17292,0.000791909,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG177.mixedField,6.00569,3.42599,0.036196,0.053144,0.114224,0.0393402,1,0,0,3.05199,0.000684545,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG178.mixedField,6.17229,3.32651,0.0320424,0.0486979,0.106053,0.0396311,1,0,0,3.1714,0.000923513,0,0
